,Date,Value
0,2021-05-17,35.6000
1,2021-05-18,34.8333
2,2021-05-19,31.8667
3,2021-05-20,33.3667
4,2021-05-21,29.7000
5,2021-05-24,29.8667
6,2021-05-25,26.6000
7,2021-05-26,28.9333
8,2021-05-27,29.8667
9,2021-05-28,31.9333
10,2021-06-01,35.0000
11,2021-06-02,42.0667
12,2021-06-03,41.6000
13,2021-06-04,42.7667
14,2021-06-07,43.7333
15,2021-06-08,45.9000
16,2021-06-09,46.6333
17,2021-06-10,49.8667
18,2021-06-11,52.5000
19,2021-06-14,54.1000
20,2021-06-15,51.8667
21,2021-06-16,44.7000
22,2021-06-17,42.7667
23,2021-06-18,31.8000
24,2021-06-21,33.4333
25,2021-06-22,32.3667
26,2021-06-23,33.8333
27,2021-06-24,37.2333
28,2021-06-25,41.8333
29,2021-06-28,41.5333
30,2021-06-29,40.0333
31,2021-06-30,37.9667
32,2021-07-01,39.0667
33,2021-07-02,38.6000
34,2021-07-06,33.0667
35,2021-07-07,32.3333
36,2021-07-08,26.8667
37,2021-07-09,31.5333
38,2021-07-12,33.0667
39,2021-07-13,30.3333
40,2021-07-14,29.6333
41,2021-07-15,26.8000
42,2021-07-16,22.6333
43,2021-07-19,13.8074
44,2021-07-20,20.6333
45,2021-07-21,24.4667
46,2021-07-22,25.2000
47,2021-07-23,29.1333
48,2021-07-26,30.7000
49,2021-07-27,27.3667
50,2021-07-28,27.4667
51,2021-07-29,30.4333
52,2021-07-30,26.4667
53,2021-08-02,24.3667
54,2021-08-03,29.8000
55,2021-08-04,27.3333
56,2021-08-05,32.5333
57,2021-08-06,32.5333
58,2021-08-09,32.0000
59,2021-08-10,34.2667
60,2021-08-11,35.6000
61,2021-08-12,38.9667
62,2021-08-13,41.4333
63,2021-08-16,46.7667
64,2021-08-17,36.7333
65,2021-08-18,20.5928
66,2021-08-19,19.1129
67,2021-08-20,24.4333
68,2021-08-23,28.1667
69,2021-08-24,33.9667
70,2021-08-25,38.9000
71,2021-08-26,33.7333
72,2021-08-27,44.7667
73,2021-08-30,47.8667
74,2021-08-31,47.2333
75,2021-09-01,43.1333
