,Date,Price
0,2023-08-20,24051192.8672656
1,2023-08-22,23087539.213636518
2,2023-08-24,21394133.443459522
3,2023-08-26,15625961.748562595
4,2023-08-28,14928026.850327488
5,2023-08-30,20604000.504953578
6,2023-09-01,17673985.054785594
7,2023-09-03,13591610.219684288
8,2023-09-05,13230457.620548258
9,2023-09-07,14330494.486464927
10,2023-09-09,12099369.857585471
11,2023-09-11,17679857.82776823
12,2023-09-13,20239899.90093189
13,2023-09-15,15500691.996930396
14,2023-09-17,11304646.997068612
15,2023-09-19,12697316.25099193
16,2023-09-21,13088288.222300004
17,2023-09-23,10738254.215122912
18,2023-09-25,15419231.24612386
19,2023-09-27,12837215.424210997
20,2023-09-29,11821528.675868025
21,2023-10-01,14412034.339317411
22,2023-10-03,12636816.616616214
23,2023-10-05,13385090.611897638
24,2023-10-07,10790989.382236136
25,2023-10-09,13696588.614793422
26,2023-10-11,10750448.434902977
27,2023-10-13,11364501.073704807
28,2023-10-15,13771214.640349967
29,2023-10-17,13288229.772344928
30,2023-10-19,20172230.877705142
31,2023-10-21,16898185.74552152
32,2023-10-23,24511822.18356776
33,2023-10-25,28408821.584484626
34,2023-10-27,24551437.86232908
35,2023-10-29,24177649.50324173
36,2023-10-31,25074953.0055079
37,2023-11-02,31540299.068483084
38,2023-11-04,25858129.95283459
39,2023-11-06,42404507.22795562
40,2023-11-08,53270506.657735
41,2023-11-10,51134564.03403141
42,2023-11-12,33590105.9878952
43,2023-11-14,28718915.104874983
44,2023-11-16,24072404.775794674
45,2023-11-18,20038251.785788603
46,2023-11-20,26443275.249664024
47,2023-11-22,35932780.96294425
48,2023-11-24,53549993.74167219
49,2023-11-26,42096475.26862398
50,2023-11-28,41493574.99139185
51,2023-11-30,44341843.72625762
52,2023-12-02,58060307.04618432
53,2023-12-04,64298242.03437796
54,2023-12-06,47790792.968141615
55,2023-12-08,48817747.40097981
56,2023-12-10,58451702.74196564
57,2023-12-12,51831999.250141315
58,2023-12-14,44313368.56970273
59,2023-12-16,36310023.42362448
60,2023-12-18,37092285.271323875
61,2023-12-20,40043918.64530999
62,2023-12-22,38710626.19593064
63,2023-12-24,30021054.71592756
64,2023-12-26,36635293.49851178
65,2023-12-28,35264365.00137877
66,2023-12-30,30995591.856760893
67,2024-01-01,33812716.59745895
68,2024-01-03,39478797.81613961
69,2024-01-05,57492940.27987286
70,2024-01-07,44298658.4146445
71,2024-01-09,47387755.06960741
72,2024-01-11,68328181.6326385
73,2024-01-13,50204624.61412839
74,2024-01-15,51644633.71904548
75,2024-01-17,82104821.9982803
76,2024-01-19,59146288.88167264
77,2024-01-21,57561644.35825974
78,2024-01-23,41751931.62506989
