,Date,Price
0,2023-02-27,
1,2023-02-28,
2,2023-03-01,
3,2023-03-02,70.845
4,2023-03-03,
5,2023-03-04,107.0
6,2023-03-05,217.21337534015225
7,2023-03-06,82.0
8,2023-03-07,
9,2023-03-08,
10,2023-03-09,
11,2023-03-10,73.0
12,2023-03-11,379.85160888223635
13,2023-03-12,
14,2023-03-13,
15,2023-03-14,
16,2023-03-15,65.20126534919267
17,2023-03-16,
18,2023-03-17,
19,2023-03-18,
20,2023-03-19,74.0
21,2023-03-20,
22,2023-03-21,85.0
23,2023-03-22,59.98592282584402
24,2023-03-23,
25,2023-03-24,
26,2023-03-25,
27,2023-03-26,
28,2023-03-27,
29,2023-03-28,
30,2023-03-29,
31,2023-03-30,
32,2023-03-31,
33,2023-04-01,
34,2023-04-02,
35,2023-04-03,
36,2023-04-04,
37,2023-04-05,58.32976135961611
38,2023-04-06,
39,2023-04-07,58.0
40,2023-04-08,
41,2023-04-09,
42,2023-04-10,57.01356196050412
43,2023-04-11,55.980152881681065
44,2023-04-12,49.95537897715734
45,2023-04-13,42.963412294454365
46,2023-04-14,45.967414557978586
47,2023-04-15,
48,2023-04-16,
49,2023-04-17,
50,2023-04-18,
51,2023-04-19,
52,2023-04-20,
53,2023-04-21,45.10961654430442
54,2023-04-22,
55,2023-04-23,
56,2023-04-24,
57,2023-04-25,
58,2023-04-26,
59,2023-04-27,
60,2023-04-28,
61,2023-04-29,
62,2023-04-30,
63,2023-05-01,51.0
64,2023-05-02,
65,2023-05-03,
66,2023-05-04,
67,2023-05-05,
68,2023-05-06,
69,2023-05-07,
70,2023-05-08,
71,2023-05-09,
72,2023-05-10,
73,2023-05-11,42.81161106735703
74,2023-05-12,
75,2023-05-13,
76,2023-05-14,
77,2023-05-15,
78,2023-05-16,
79,2023-05-17,
80,2023-05-18,
81,2023-05-19,
82,2023-05-20,
83,2023-05-21,
84,2023-05-22,60.023754819551414
85,2023-05-23,217.019682176208
86,2023-05-24,
87,2023-05-25,
88,2023-05-26,
89,2023-05-27,
90,2023-05-28,
91,2023-05-29,
92,2023-05-30,58.0
93,2023-05-31,
94,2023-06-01,
95,2023-06-02,
96,2023-06-03,
97,2023-06-04,
98,2023-06-05,
99,2023-06-06,69.0
100,2023-06-07,
101,2023-06-08,70.0
102,2023-06-09,
103,2023-06-10,
104,2023-06-11,
105,2023-06-12,212.0
106,2023-06-13,130.0
107,2023-06-14,
108,2023-06-15,77.5
109,2023-06-16,
110,2023-06-17,
111,2023-06-18,
112,2023-06-19,
113,2023-06-20,
114,2023-06-21,
115,2023-06-22,
116,2023-06-23,
117,2023-06-24,
118,2023-06-25,
119,2023-06-26,
120,2023-06-27,
121,2023-06-28,
122,2023-06-29,
123,2023-06-30,74.69
124,2023-07-01,
125,2023-07-02,
126,2023-07-03,72.49103274063542
127,2023-07-04,
128,2023-07-05,
129,2023-07-06,
130,2023-07-07,
131,2023-07-08,
132,2023-07-09,73.0
133,2023-07-10,
134,2023-07-11,
135,2023-07-12,65.06313667712158
136,2023-07-13,
137,2023-07-14,79.98330170470993
138,2023-07-15,
139,2023-07-16,
140,2023-07-17,
141,2023-07-18,
142,2023-07-19,
143,2023-07-20,78.345
144,2023-07-21,
145,2023-07-22,
146,2023-07-23,
147,2023-07-24,79.9637577901433
148,2023-07-25,79.0
149,2023-07-26,
150,2023-07-27,
151,2023-07-28,
152,2023-07-29,
153,2023-07-30,
154,2023-07-31,
155,2023-08-01,
156,2023-08-02,
157,2023-08-03,60.74205377301705
158,2023-08-04,
159,2023-08-05,
160,2023-08-06,
161,2023-08-07,
162,2023-08-08,
163,2023-08-09,
164,2023-08-10,63.03064455613562
165,2023-08-11,
166,2023-08-12,62.647207567488024
167,2023-08-13,
168,2023-08-14,
169,2023-08-15,
170,2023-08-16,
171,2023-08-17,
172,2023-08-18,63.0
173,2023-08-19,
174,2023-08-20,45.0
175,2023-08-21,
176,2023-08-22,
177,2023-08-23,
178,2023-08-24,
179,2023-08-25,
180,2023-08-26,
181,2023-08-27,
182,2023-08-28,
183,2023-08-29,
184,2023-08-30,
185,2023-08-31,
186,2023-09-01,30.010437382293087
187,2023-09-02,75.01139267074815
188,2023-09-03,
189,2023-09-04,
190,2023-09-05,
191,2023-09-06,
192,2023-09-07,
193,2023-09-08,
194,2023-09-09,
