,Date,Price
0,2023-01-18,
1,2023-01-19,1.8699581101071328
2,2023-01-20,
3,2023-01-21,
4,2023-01-22,
5,2023-01-23,
6,2023-01-24,1.85
7,2023-01-25,
8,2023-01-26,1.1776381408087049
9,2023-01-27,2.1986012500652388
10,2023-01-28,
11,2023-01-29,1.9022366998703188
12,2023-01-30,
13,2023-01-31,
14,2023-02-01,3.0
15,2023-02-02,0.2996935514245758
16,2023-02-03,0.899086254366889
17,2023-02-04,
18,2023-02-05,
19,2023-02-06,1.5
20,2023-02-07,
21,2023-02-08,
22,2023-02-09,
23,2023-02-10,
24,2023-02-11,
25,2023-02-12,
26,2023-02-13,
27,2023-02-14,1.4448106708126875
28,2023-02-15,
29,2023-02-16,1.2200000000000002
30,2023-02-17,
31,2023-02-18,1.0
32,2023-02-19,
33,2023-02-20,1.23
34,2023-02-21,0.9940420452441346
35,2023-02-22,
36,2023-02-23,
37,2023-02-24,
38,2023-02-25,0.9993567361680837
39,2023-02-26,
40,2023-02-27,
41,2023-02-28,
42,2023-03-01,
43,2023-03-02,
44,2023-03-03,1.0
45,2023-03-04,
46,2023-03-05,
47,2023-03-06,
48,2023-03-07,0.8000603074969543
49,2023-03-08,
50,2023-03-09,
51,2023-03-10,
52,2023-03-11,
53,2023-03-12,
54,2023-03-13,0.8992825689513089
55,2023-03-14,
56,2023-03-15,
57,2023-03-16,0.97
58,2023-03-17,
59,2023-03-18,
60,2023-03-19,
61,2023-03-20,
62,2023-03-21,
63,2023-03-22,
64,2023-03-23,
65,2023-03-24,
66,2023-03-25,
67,2023-03-26,
68,2023-03-27,0.570619841675429
69,2023-03-28,
70,2023-03-29,
71,2023-03-30,
72,2023-03-31,0.78
73,2023-04-01,
74,2023-04-02,
75,2023-04-03,
76,2023-04-04,
77,2023-04-05,0.5348695888784609
78,2023-04-06,
79,2023-04-07,
80,2023-04-08,
81,2023-04-09,
82,2023-04-10,
83,2023-04-11,
84,2023-04-12,0.47543037289677303
85,2023-04-13,
86,2023-04-14,
87,2023-04-15,0.4498105179311005
88,2023-04-16,
89,2023-04-17,
90,2023-04-18,0.5449999999999999
91,2023-04-19,
92,2023-04-20,
93,2023-04-21,
94,2023-04-22,
95,2023-04-23,
96,2023-04-24,
97,2023-04-25,
98,2023-04-26,0.26592027729067946
99,2023-04-27,
100,2023-04-28,
101,2023-04-29,
102,2023-04-30,0.35
103,2023-05-01,
104,2023-05-02,0.369
105,2023-05-03,0.3030110373315143
106,2023-05-04,
107,2023-05-05,
108,2023-05-06,
109,2023-05-07,
110,2023-05-08,0.39499989999999996
111,2023-05-09,
112,2023-05-10,
113,2023-05-11,
114,2023-05-12,
115,2023-05-13,
116,2023-05-14,
117,2023-05-15,
118,2023-05-16,
119,2023-05-17,0.31866356707962035
120,2023-05-18,0.385
121,2023-05-19,
122,2023-05-20,0.42399999999999993
123,2023-05-21,
124,2023-05-22,
125,2023-05-23,0.38149999999999995
126,2023-05-24,0.384
127,2023-05-25,
128,2023-05-26,
129,2023-05-27,0.42
130,2023-05-28,0.497
131,2023-05-29,
132,2023-05-30,
133,2023-05-31,
134,2023-06-01,
135,2023-06-02,
136,2023-06-03,
137,2023-06-04,
138,2023-06-05,
139,2023-06-06,
140,2023-06-07,
141,2023-06-08,
142,2023-06-09,
143,2023-06-10,
144,2023-06-11,0.2755404968081997
145,2023-06-12,
146,2023-06-13,
147,2023-06-14,
148,2023-06-15,0.24014469359603788
149,2023-06-16,
150,2023-06-17,0.24013042551344072
151,2023-06-18,
152,2023-06-19,
153,2023-06-20,
154,2023-06-21,0.2234585464792069
155,2023-06-22,0.285
156,2023-06-23,0.299
157,2023-06-24,
158,2023-06-25,
159,2023-06-26,0.7000000000000001
160,2023-06-27,
161,2023-06-28,
162,2023-06-29,
163,2023-06-30,
164,2023-07-01,
165,2023-07-02,
166,2023-07-03,
167,2023-07-04,
168,2023-07-05,
169,2023-07-06,
170,2023-07-07,0.30016413580856294
171,2023-07-08,
172,2023-07-09,0.2551339536464166
173,2023-07-10,
174,2023-07-11,
175,2023-07-12,
176,2023-07-13,
177,2023-07-14,
178,2023-07-15,
179,2023-07-16,
180,2023-07-17,
181,2023-07-18,
182,2023-07-19,
183,2023-07-20,
184,2023-07-21,
185,2023-07-22,
186,2023-07-23,
187,2023-07-24,
188,2023-07-25,
189,2023-07-26,
190,2023-07-27,
191,2023-07-28,
192,2023-07-29,
193,2023-07-30,
194,2023-07-31,
195,2023-08-01,
196,2023-08-02,
197,2023-08-03,0.21569102508213614
198,2023-08-04,
199,2023-08-05,
200,2023-08-06,
201,2023-08-07,
202,2023-08-08,
203,2023-08-09,
204,2023-08-10,
205,2023-08-11,
206,2023-08-12,
207,2023-08-13,
208,2023-08-14,
209,2023-08-15,
210,2023-08-16,
211,2023-08-17,
212,2023-08-18,
213,2023-08-19,
214,2023-08-20,
215,2023-08-21,0.1773042618764935
216,2023-08-22,
217,2023-08-23,
218,2023-08-24,
219,2023-08-25,
220,2023-08-26,
221,2023-08-27,0.1750080671422261
222,2023-08-28,
223,2023-08-29,0.20239059662066297
224,2023-08-30,
225,2023-08-31,0.219922089763514
226,2023-09-01,0.18523111730646846
227,2023-09-02,
228,2023-09-03,
229,2023-09-04,
230,2023-09-05,
231,2023-09-06,
232,2023-09-07,0.17354186279017772
233,2023-09-08,0.1488949636331059
234,2023-09-09,
235,2023-09-10,
236,2023-09-11,
237,2023-09-12,
238,2023-09-13,
239,2023-09-14,0.20276943130191627
240,2023-09-15,
241,2023-09-16,
242,2023-09-17,
243,2023-09-18,
244,2023-09-19,
245,2023-09-20,
246,2023-09-21,
247,2023-09-22,0.18000334845324145
248,2023-09-23,0.2399694885122404
249,2023-09-24,
250,2023-09-25,
251,2023-09-26,
252,2023-09-27,0.19994071453093887
