,Date,Price
0,2023-02-27,
1,2023-02-28,
2,2023-03-01,55.0
3,2023-03-02,
4,2023-03-03,
5,2023-03-04,
6,2023-03-05,
7,2023-03-06,
8,2023-03-07,
9,2023-03-08,
10,2023-03-09,
11,2023-03-10,
12,2023-03-11,
13,2023-03-12,
14,2023-03-13,
15,2023-03-14,
16,2023-03-15,
17,2023-03-16,
18,2023-07-17,
19,2023-07-18,
20,2023-07-19,
21,2023-07-20,
22,2023-07-21,
23,2023-07-22,
24,2023-07-23,
25,2023-07-24,
26,2023-07-25,
27,2023-07-26,
28,2023-07-27,
29,2023-07-28,
30,2023-07-29,
31,2023-07-30,
32,2023-07-31,
33,2023-08-01,
34,2023-08-02,
35,2023-08-03,
36,2023-08-04,
37,2023-08-05,
38,2023-08-06,
39,2023-08-07,
40,2023-08-08,
41,2023-08-09,
42,2023-08-10,
43,2023-08-11,
44,2023-08-12,41.01861652227182
45,2023-08-13,
46,2023-08-14,
47,2023-08-15,
48,2023-08-16,
49,2023-08-17,
50,2023-08-18,30.005287334743585
51,2023-08-19,
52,2023-08-20,34.0
53,2023-08-21,
54,2023-08-22,
55,2023-08-23,
56,2023-08-24,
57,2023-08-25,
58,2023-08-26,
59,2023-08-27,
60,2023-08-28,
61,2023-08-29,
62,2023-08-30,
63,2023-08-31,
64,2023-09-01,
65,2023-09-02,
66,2023-09-03,
67,2023-09-04,
68,2023-09-05,
69,2023-09-06,
70,2023-09-07,33.0
71,2023-09-08,
72,2023-09-09,
73,2023-09-10,
74,2023-09-11,
75,2023-09-12,
76,2023-09-13,
77,2023-09-14,
78,2023-09-15,
79,2023-09-16,
80,2023-11-17,
81,2023-11-18,
82,2023-11-19,
83,2023-11-20,
84,2023-11-21,
85,2023-11-22,26.0
86,2023-11-23,
87,2023-11-24,
88,2023-11-25,
89,2023-11-26,
90,2023-11-27,
91,2023-11-28,
92,2023-11-29,
93,2023-11-30,
94,2023-12-01,
95,2023-12-02,
96,2023-12-03,
97,2023-12-04,
98,2023-12-05,
99,2023-12-06,
100,2023-12-07,
101,2023-12-08,
102,2023-12-09,
103,2023-12-10,
104,2023-12-11,
105,2023-12-12,
106,2023-12-13,
107,2023-12-14,
108,2023-12-15,
109,2023-12-16,
