,Date,Price
0,2023-02-27,0.12495177651751065
1,2023-02-28,
2,2023-03-01,
3,2023-03-02,
4,2023-03-03,
5,2023-03-04,
6,2023-03-05,
7,2023-03-06,
8,2023-03-07,
9,2023-03-08,
10,2023-03-09,
11,2023-03-10,
12,2023-03-11,
13,2023-03-12,
14,2023-03-13,
15,2023-03-14,
16,2023-03-15,
17,2023-03-16,
18,2023-03-17,
19,2023-03-18,
20,2023-03-19,
21,2023-03-20,0.18009518054630616
22,2023-03-21,
23,2023-03-22,0.13003001838331985
24,2023-03-23,
25,2023-03-24,
26,2023-03-25,
27,2023-03-26,
28,2023-03-27,
29,2023-03-28,
30,2023-03-29,
31,2023-03-30,
32,2023-03-31,
33,2023-04-01,
34,2023-04-02,
35,2023-04-03,
36,2023-04-04,
37,2023-04-05,
38,2023-04-06,
39,2023-04-07,
40,2023-04-08,
41,2023-04-09,
42,2023-04-10,
43,2023-04-11,
44,2023-04-12,
45,2023-04-13,
46,2023-04-14,
47,2023-04-15,
48,2023-04-16,0.08314104475011143
49,2023-05-17,
50,2023-05-18,
51,2023-05-19,
52,2023-05-20,
53,2023-05-21,
54,2023-05-22,
55,2023-05-23,0.18
56,2023-05-24,
57,2023-05-25,
58,2023-05-26,
59,2023-05-27,
60,2023-05-28,
61,2023-05-29,
62,2023-05-30,
63,2023-05-31,
64,2023-06-01,
65,2023-06-02,
66,2023-06-03,
67,2023-06-04,
68,2023-06-05,
69,2023-06-06,
70,2023-06-07,
71,2023-06-08,
72,2023-06-09,
73,2023-06-10,
74,2023-06-11,0.32
75,2023-06-12,
76,2023-06-13,
77,2023-06-14,
78,2023-06-15,
79,2023-06-16,
80,2023-06-17,
81,2023-06-18,
82,2023-06-19,
83,2023-06-20,
84,2023-06-21,
85,2023-06-22,
86,2023-06-23,
87,2023-06-24,
88,2023-06-25,
89,2023-06-26,
90,2023-06-27,
91,2023-06-28,
92,2023-06-29,
93,2023-06-30,
94,2023-07-01,
95,2023-07-02,
96,2023-07-03,
97,2023-07-04,0.16898684297728903
98,2023-07-05,
99,2023-07-06,
100,2023-07-07,
101,2023-07-08,
102,2023-07-09,
103,2023-07-10,
104,2023-07-11,
105,2023-07-12,
106,2023-07-13,0.2
107,2023-07-14,
108,2023-07-15,
109,2023-07-16,
110,2023-07-17,
111,2023-07-18,
112,2023-07-19,
113,2023-07-20,
114,2023-07-21,
115,2023-07-22,
116,2023-07-23,
117,2023-07-24,
118,2023-07-25,
119,2023-07-26,
120,2023-07-27,
121,2023-07-28,
122,2023-07-29,
123,2023-07-30,
124,2023-07-31,
125,2023-08-01,
126,2023-08-02,
127,2023-08-03,
128,2023-08-04,
129,2023-08-05,
130,2023-08-06,
131,2023-08-07,0.15012302912858727
132,2023-08-08,
133,2023-08-09,
134,2023-08-10,
135,2023-08-11,
136,2023-08-12,
137,2023-08-13,
138,2023-08-14,
139,2023-08-15,
140,2023-08-16,
141,2023-09-17,
142,2023-09-18,
143,2023-09-19,
144,2023-09-20,
145,2023-09-21,
146,2023-09-22,
147,2023-09-23,0.12493273581360907
148,2023-09-24,
149,2023-09-25,
150,2023-09-26,
151,2023-09-27,
152,2023-09-28,
153,2023-09-29,
154,2023-09-30,
155,2023-10-01,
156,2023-10-02,0.10123590954101926
157,2023-10-03,
158,2023-10-04,
159,2023-10-05,
160,2023-10-06,0.244
161,2023-10-07,
162,2023-10-08,
163,2023-10-09,
164,2023-10-10,
165,2023-10-11,
166,2023-10-12,
167,2023-10-13,
168,2023-10-14,0.2
169,2023-10-15,
170,2023-10-16,
171,2023-10-17,
172,2023-10-18,
173,2023-10-19,
174,2023-10-20,
175,2023-10-21,
176,2023-10-22,
177,2023-10-23,
178,2023-10-24,
179,2023-10-25,
180,2023-10-26,
181,2023-10-27,0.10199042089337788
182,2023-10-28,
183,2023-10-29,
184,2023-10-30,
185,2023-10-31,
186,2023-11-01,
187,2023-11-02,
188,2023-11-03,
189,2023-11-04,
190,2023-11-05,0.08118617588839205
191,2023-11-06,
192,2023-11-07,0.08109309444865885
193,2023-11-08,
194,2023-11-09,0.07994423379904526
195,2023-11-10,
196,2023-11-11,
197,2023-11-12,
198,2023-11-13,
199,2023-11-14,
200,2023-11-15,0.0815943399289462
201,2023-11-16,
202,2023-11-17,
203,2023-11-18,
204,2023-11-19,
205,2023-11-20,
206,2023-11-21,
207,2023-11-22,
208,2023-11-23,
209,2023-11-24,
210,2023-11-25,
211,2023-11-26,
212,2023-11-27,
213,2023-11-28,
214,2023-11-29,
215,2023-11-30,
216,2023-12-01,0.09799999999999999
217,2023-12-02,
218,2023-12-03,
219,2023-12-04,
220,2023-12-05,
221,2023-12-06,
222,2023-12-07,
223,2023-12-08,
224,2023-12-09,0.11750000000000001
225,2023-12-10,
226,2023-12-11,
227,2023-12-12,
228,2023-12-13,
229,2023-12-14,
230,2023-12-15,
231,2023-12-16,
