,Date,Price
0,2023-01-18,
1,2023-01-19,
2,2023-01-20,
3,2023-01-21,
4,2023-01-22,
5,2023-01-23,
6,2023-01-24,
7,2023-01-25,
8,2023-01-26,
9,2023-01-27,
10,2023-01-28,
11,2023-01-29,
12,2023-01-30,
13,2023-01-31,
14,2023-02-01,
15,2023-02-02,
16,2023-02-03,
17,2023-02-04,
18,2023-02-05,
19,2023-02-06,
20,2023-02-07,
21,2023-02-08,
22,2023-02-09,
23,2023-02-10,
24,2023-02-11,
25,2023-02-12,
26,2023-02-13,
27,2023-02-14,
28,2023-02-15,
29,2023-02-16,
30,2023-02-17,
31,2023-02-18,
32,2023-02-19,
33,2023-02-20,
34,2023-02-21,
35,2023-02-22,
36,2023-02-23,
37,2023-02-24,
38,2023-02-25,
39,2023-02-26,
40,2023-02-27,
41,2023-02-28,
42,2023-03-01,
43,2023-03-02,
44,2023-03-03,
45,2023-03-04,
46,2023-03-05,
47,2023-03-06,
48,2023-03-07,
49,2023-03-08,
50,2023-03-09,
51,2023-03-10,
52,2023-03-11,
53,2023-03-12,
54,2023-03-13,
55,2023-03-14,
56,2023-03-15,
57,2023-03-16,
58,2023-03-17,
59,2023-03-18,
60,2023-03-19,
61,2023-03-20,
62,2023-03-21,
63,2023-03-22,
64,2023-03-23,
65,2023-03-24,
66,2023-03-25,
67,2023-03-26,
68,2023-03-27,
69,2023-03-28,
70,2023-03-29,
71,2023-03-30,
72,2023-03-31,
73,2023-04-01,
74,2023-04-02,
75,2023-04-03,
76,2023-04-04,
77,2023-04-05,
78,2023-04-06,
79,2023-04-07,
80,2023-04-08,
81,2023-04-09,
82,2023-04-10,
83,2023-04-11,
84,2023-04-12,
85,2023-04-13,
86,2023-04-14,
87,2023-04-15,
88,2023-04-16,
89,2023-04-17,
90,2023-04-18,
91,2023-04-19,
92,2023-04-20,
93,2023-04-21,6.8999999999999995
94,2023-04-22,
95,2023-04-23,
96,2023-04-24,
97,2023-04-25,
98,2023-04-26,
99,2023-04-27,
100,2023-04-28,
101,2023-04-29,
102,2023-04-30,
103,2023-05-01,
104,2023-05-02,
105,2023-05-03,
106,2023-05-04,
107,2023-05-05,
108,2023-05-06,
109,2023-05-07,
110,2023-05-08,
111,2023-05-09,
112,2023-05-10,
113,2023-05-11,
114,2023-05-12,
115,2023-05-13,
116,2023-05-14,
117,2023-05-15,
118,2023-05-16,
119,2023-06-17,
120,2023-06-18,
121,2023-06-19,
122,2023-06-20,
123,2023-06-21,
124,2023-06-22,
125,2023-06-23,
126,2023-06-24,
127,2023-06-25,
128,2023-06-26,
129,2023-06-27,
130,2023-06-28,
131,2023-06-29,
132,2023-06-30,
133,2023-07-01,
134,2023-07-02,
135,2023-07-03,5.996154949818555
136,2023-07-04,
137,2023-07-05,
138,2023-07-06,
139,2023-07-07,
140,2023-07-08,
141,2023-07-09,
142,2023-07-10,
143,2023-07-11,
144,2023-07-12,
145,2023-07-13,
146,2023-07-14,
147,2023-07-15,
148,2023-07-16,
