,Date,Price
0,2023-02-27,
1,2023-02-28,
2,2023-03-01,
3,2023-03-02,
4,2023-03-03,
5,2023-03-04,
6,2023-03-05,
7,2023-03-06,
8,2023-03-07,
9,2023-03-08,
10,2023-03-09,
11,2023-03-10,
12,2023-03-11,
13,2023-03-12,
14,2023-03-13,
15,2023-03-14,
16,2023-03-15,
17,2023-03-16,
18,2023-03-17,
19,2023-03-18,
20,2023-03-19,
21,2023-03-20,
22,2023-03-21,
23,2023-03-22,
24,2023-03-23,
25,2023-03-24,
26,2023-03-25,
27,2023-03-26,
28,2023-03-27,
29,2023-03-28,
30,2023-03-29,
31,2023-03-30,
32,2023-03-31,
33,2023-04-01,
34,2023-04-02,
35,2023-04-03,
36,2023-04-04,
37,2023-04-05,
38,2023-04-06,
39,2023-04-07,
40,2023-04-08,
41,2023-04-09,
42,2023-04-10,
43,2023-04-11,
44,2023-04-12,
45,2023-04-13,
46,2023-04-14,
47,2023-04-15,
48,2023-04-16,
49,2023-04-17,
50,2023-04-18,
51,2023-04-19,
52,2023-04-20,
53,2023-04-21,6.8999999999999995
54,2023-04-22,
55,2023-04-23,
56,2023-04-24,
57,2023-04-25,
58,2023-04-26,
59,2023-04-27,
60,2023-04-28,
61,2023-04-29,
62,2023-04-30,
63,2023-05-01,
64,2023-05-02,
65,2023-05-03,
66,2023-05-04,
67,2023-05-05,
68,2023-05-06,
69,2023-05-07,
70,2023-05-08,
71,2023-05-09,
72,2023-05-10,
73,2023-05-11,
74,2023-05-12,
75,2023-05-13,
76,2023-05-14,
77,2023-05-15,
78,2023-05-16,
79,2023-06-17,
80,2023-06-18,
81,2023-06-19,
82,2023-06-20,
83,2023-06-21,
84,2023-06-22,
85,2023-06-23,
86,2023-06-24,
87,2023-06-25,
88,2023-06-26,
89,2023-06-27,
90,2023-06-28,
91,2023-06-29,
92,2023-06-30,
93,2023-07-01,
94,2023-07-02,
95,2023-07-03,5.996154949818555
96,2023-07-04,
97,2023-07-05,
98,2023-07-06,
99,2023-07-07,
100,2023-07-08,
101,2023-07-09,
102,2023-07-10,
103,2023-07-11,
104,2023-07-12,
105,2023-07-13,
106,2023-07-14,
107,2023-07-15,
108,2023-07-16,
