,Date,Price
0,2023-01-18,
1,2023-01-19,
2,2023-01-20,
3,2023-01-21,
4,2023-01-22,
5,2023-01-23,
6,2023-01-24,
7,2023-01-25,
8,2023-01-26,
9,2023-01-27,
10,2023-01-28,
11,2023-01-29,6.2483410576523
12,2023-01-30,
13,2023-01-31,
14,2023-02-01,
15,2023-02-02,
16,2023-02-03,
17,2023-02-04,2.7943088253676986
18,2023-02-05,
19,2023-02-06,
20,2023-02-07,
21,2023-02-08,2.879063188394743
22,2023-02-09,
23,2023-02-10,
24,2023-02-11,
25,2023-02-12,
26,2023-02-13,
27,2023-02-14,
28,2023-02-15,
29,2023-02-16,3.8
30,2023-02-17,
31,2023-02-18,
32,2023-02-19,
33,2023-02-20,
34,2023-02-21,
35,2023-02-22,
36,2023-02-23,
37,2023-02-24,
38,2023-02-25,
39,2023-02-26,4.998132897506502
40,2023-02-27,
41,2023-02-28,
42,2023-03-01,
43,2023-03-02,
44,2023-03-03,
45,2023-03-04,
46,2023-03-05,
47,2023-03-06,
48,2023-03-07,
49,2023-03-08,
50,2023-03-09,
51,2023-03-10,
52,2023-03-11,2.9899999999999998
53,2023-03-12,
54,2023-03-13,2.8959260354439946
55,2023-03-14,
56,2023-03-15,
57,2023-03-16,
58,2023-03-17,
59,2023-03-18,
60,2023-03-19,
61,2023-03-20,
62,2023-03-21,
63,2023-03-22,
64,2023-03-23,
65,2023-03-24,
66,2023-03-25,
67,2023-03-26,
68,2023-03-27,
69,2023-03-28,2.689362606570712
70,2023-03-29,
71,2023-03-30,
72,2023-03-31,
73,2023-04-01,
74,2023-04-02,2.9995595802809016
75,2023-04-03,
76,2023-04-04,
77,2023-04-05,
78,2023-04-06,
79,2023-04-07,
80,2023-04-08,
81,2023-04-09,
82,2023-04-10,
83,2023-04-11,
84,2023-04-12,
85,2023-04-13,
86,2023-04-14,
87,2023-04-15,
88,2023-04-16,
89,2023-04-17,
90,2023-04-18,2.1002964656069554
91,2023-04-19,
92,2023-04-20,
93,2023-04-21,
94,2023-04-22,
95,2023-04-23,
96,2023-04-24,
97,2023-04-25,
98,2023-04-26,
