,Date,Price
0,2023-02-27,
1,2023-02-28,
2,2023-03-01,
3,2023-03-02,
4,2023-03-03,
5,2023-03-04,0.5699025014294853
6,2023-03-05,
7,2023-03-06,
8,2023-03-07,
9,2023-03-08,
10,2023-03-09,
11,2023-03-10,
12,2023-03-11,
13,2023-03-12,
14,2023-03-13,
15,2023-03-14,
16,2023-03-15,
17,2023-03-16,
18,2023-03-17,
19,2023-03-18,
20,2023-03-19,
21,2023-03-20,
22,2023-03-21,
23,2023-03-22,
24,2023-03-23,
25,2023-03-24,
26,2023-03-25,
27,2023-03-26,
28,2023-03-27,
29,2023-03-28,
30,2023-03-29,
31,2023-03-30,
32,2023-03-31,
33,2023-04-01,
34,2023-04-02,
35,2023-04-03,
36,2023-04-04,
37,2023-04-05,0.6749999999999999
38,2023-04-06,
39,2023-04-07,0.6338
40,2023-04-08,
41,2023-04-09,
42,2023-04-10,
43,2023-04-11,
44,2023-04-12,
45,2023-04-13,
46,2023-04-14,
47,2023-04-15,
48,2023-04-16,
49,2023-06-17,
50,2023-06-18,
51,2023-06-19,
52,2023-06-20,
53,2023-06-21,
54,2023-06-22,
55,2023-06-23,
56,2023-06-24,
57,2023-06-25,
58,2023-06-26,
59,2023-06-27,
60,2023-06-28,
61,2023-06-29,
62,2023-06-30,
63,2023-07-01,
64,2023-07-02,
65,2023-07-03,
66,2023-07-04,
67,2023-07-05,
68,2023-07-06,
69,2023-07-07,
70,2023-07-08,
71,2023-07-09,
72,2023-07-10,
73,2023-07-11,0.69
74,2023-07-12,
75,2023-07-13,
76,2023-07-14,
77,2023-07-15,
78,2023-07-16,
79,2023-07-17,
80,2023-07-18,
81,2023-07-19,
82,2023-07-20,
83,2023-07-21,
84,2023-07-22,
85,2023-07-23,
86,2023-07-24,0.4999253908495919
87,2023-07-25,
88,2023-07-26,
89,2023-07-27,0.4003355122915161
90,2023-07-28,
91,2023-07-29,
92,2023-07-30,
93,2023-07-31,
94,2023-08-01,
95,2023-08-02,
96,2023-08-03,0.5499999999999999
97,2023-08-04,
98,2023-08-05,
99,2023-08-06,
100,2023-08-07,
101,2023-08-08,
102,2023-08-09,
103,2023-08-10,
104,2023-08-11,
105,2023-08-12,
106,2023-08-13,
107,2023-08-14,
108,2023-08-15,
109,2023-08-16,
110,2023-10-17,0.5555
111,2023-10-18,
112,2023-10-19,
113,2023-10-20,
114,2023-10-21,
115,2023-10-22,
116,2023-10-23,
117,2023-10-24,
118,2023-10-25,
119,2023-10-26,
120,2023-10-27,
121,2023-10-28,
122,2023-10-29,
123,2023-10-30,
124,2023-10-31,
125,2023-11-01,
126,2023-11-02,
127,2023-11-03,
128,2023-11-04,
129,2023-11-05,
130,2023-11-06,
131,2023-11-07,
132,2023-11-08,
133,2023-11-09,
134,2023-11-10,
135,2023-11-11,
136,2023-11-12,
137,2023-11-13,
138,2023-11-14,
139,2023-11-15,
140,2023-11-16,
141,2023-11-17,
142,2023-11-18,
143,2023-11-19,
144,2023-11-20,
145,2023-11-21,0.350529331396142
146,2023-11-22,
147,2023-11-23,
148,2023-11-24,
149,2023-11-25,
150,2023-11-26,
151,2023-11-27,
152,2023-11-28,
153,2023-11-29,
154,2023-11-30,
155,2023-12-01,
156,2023-12-02,
157,2023-12-03,
158,2023-12-04,
159,2023-12-05,
160,2023-12-06,0.28957
161,2023-12-07,
162,2023-12-08,
163,2023-12-09,
164,2023-12-10,
165,2023-12-11,
166,2023-12-12,
167,2023-12-13,
168,2023-12-14,0.2851032857830603
169,2023-12-15,
170,2023-12-16,
171,2023-12-17,
172,2023-12-18,
173,2023-12-19,
174,2023-12-20,
175,2023-12-21,
176,2023-12-22,
177,2023-12-23,
178,2023-12-24,
179,2023-12-25,
180,2023-12-26,
181,2023-12-27,
182,2023-12-28,0.191183
183,2023-12-29,
184,2023-12-30,0.14995717703940345
185,2023-12-31,
186,2024-01-01,
187,2024-01-02,
188,2024-01-03,
189,2024-01-04,
190,2024-01-05,
191,2024-01-06,
192,2024-01-07,
193,2024-01-08,
194,2024-01-09,
195,2024-01-10,
196,2024-01-11,
197,2024-01-12,
198,2024-01-13,
199,2024-01-14,
200,2024-01-15,
201,2024-01-16,
202,2024-01-17,0.14435938435997211
203,2024-01-18,
204,2024-01-19,
205,2024-01-20,
206,2024-01-21,
207,2024-01-22,
208,2024-01-23,
209,2024-01-24,
210,2024-01-25,
211,2024-01-26,
212,2024-01-27,
213,2024-01-28,
214,2024-01-29,
215,2024-01-30,
216,2024-01-31,
217,2024-02-01,
218,2024-02-02,
219,2024-02-03,
220,2024-02-04,0.15129469353411049
221,2024-02-05,
222,2024-02-06,
223,2024-02-07,
224,2024-02-08,0.2001451499774866
225,2024-02-09,
226,2024-02-10,
227,2024-02-11,
228,2024-02-12,
229,2024-02-13,
230,2024-02-14,
231,2024-02-15,
232,2024-02-16,
233,2024-02-17,
234,2024-02-18,
235,2024-02-19,
236,2024-02-20,
237,2024-02-21,0.08498920641480905
238,2024-02-22,0.11958381649278406
239,2024-02-23,
240,2024-02-24,
241,2024-02-25,
242,2024-02-26,
